formula,alias,pp_compat,diffusion_coefficient,molecular_weight
# Inorganic,,,,
OH[-1],hydroxide,supported,5.273e-05 cm**2/s,17.00734 g/mol
H[+1],hydronium,supported,9.311e-05 cm**2/s,1.00794 g/mol
# F,,,,
F[-1],floride,supported,1.475e-05 cm**2/s,18.9984032 g/mol
# Cl ,,,,
Cl[-1],chloride,supported,2.032e-05 cm**2/s,35.453 g/mol
ClO2[-1],chlorite,compatible,1.385e-05 cm**2/s,67.4518 g/mol
ClO3[-1],chlorate,compatible,1.72e-05 cm**2/s,83.4512 g/mol
ClO4[-1],perchlorate,compatible,1.792e-05 cm**2/s,99.45060000000001 g/mol
# Br ,,,,
Br[-1],bromide,supported,2.08e-05 cm**2/s,79.904 g/mol
BrO3[-1],bromate,compatible,1.483e-05 cm**2/s,127.9022 g/mol
# I ,,,,
I[-1],iodite,unsupported,2.045e-05 cm**2/s,126.90447 g/mol
IO3[-1],iodate,unsupported,1.078e-05 cm**2/s,174.90267 g/mol
# N ,,,,
NO2[-1],nitrite,compatible,1.912e-05 cm**2/s,46.0055 g/mol
NO3[-1],nitrate,supported,1.902e-05 cm**2/s,62.0049 g/mol
CN[-1],cyanide,compatible,2.077e-05 cm**2/s,26.017400000000002 g/mol
# C ,,,,
CO3[-2],carbonate,supported,9.23e-06 cm**2/s,60.0089 g/mol
HCO3[-1],bicarbonate,supported,1.185e-05 cm**2/s,61.016839999999995 g/mol
# S ,,,,
S[-2],sulfide,supported,,32.065 g/mol
SO3[-2],sulfite,compatible,9.59e-06 cm**2/s,80.0632 g/mol
SO4[-2],sulfate,supported,1.065e-05 cm**2/s,96.0626 g/mol
S2O3[-2],thiosulfate,compatible,1.132e-05 cm**2/s,112.12819999999999 g/mol
SCN[-1],thiocyanide,compatible,1.758e-05 cm**2/s,58.0824 g/mol
# P ,,,,
PO4[-3],phosphate,supported,8.24e-06 cm**2/s,94.971362 g/mol
HPO4[-2],hydrogenphosphate,supported,7.59e-06 cm**2/s,95.979302 g/mol
H2PO4[-1],dihydrogenphosphate,supported,,96.98724200000001 g/mol
# Metals ,,,,
Li[+1],lithium,supported,1.029e-05 cm**2/s,6.941 g/mol
Na[+1],sodium,supported,1.334e-05 cm**2/s,22.98976928 g/mol
NH4[+1],ammonium,supported,1.957e-05 cm**2/s,18.03846 g/mol
K[+1],potassium,supported,1.957e-05 cm**2/s,39.0983 g/mol
Cs[+1],cesium,unsupported,,132.9054519 g/mol
Mg[+2],magnesium,supported,7.06e-06 cm**2/s,24.305 g/mol
Ca[+2],calcium,supported,7.92e-06 cm**2/s,40.078 g/mol
Sr[+2],strontium,supported,7.91e-06 cm**2/s,87.62 g/mol
# Organics ,,,,
HCOO[-1],formate,compatible,1.454e-05 cm**2/s,45.01744 g/mol
CH3COO[-1],acetate,compatible,1.089e-05 cm**2/s,59.04402 g/mol
# pyIClab.__version__: 2024-4-19 ,,,,
# reference: pyEQL. IonDb ,,,,
